2025-05-06 19:03:38,026 |  INFO | helpers | load_from_json | line:45 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:03:42,616 |  INFO | helpers | load_from_json | line:45 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\roles.json 
2025-05-06 19:03:42,995 |  INFO | helpers | load_from_json | line:45 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\employees.json 
2025-05-06 19:04:51,126 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:04:59,444 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:06:05,307 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\employees.json 
2025-05-06 19:06:05,308 |  INFO | helpers | save_to_json | line:30 | saved data to the file: {file} 
2025-05-06 19:06:10,225 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\employees.json 
2025-05-06 19:12:11,303 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:12:11,304 |  INFO | department | list_departments | line:29 | All departments loaded.... 
2025-05-06 19:22:41,274 |  DEBUG | decorators | wrapper | line:8 | Entering the function : list_departments 
2025-05-06 19:22:41,277 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:22:41,277 |  INFO | department | list_departments | line:31 | All departments loaded.... 
2025-05-06 19:22:41,286 |  DEBUG | decorators | wrapper | line:11 | Exiting the fucntion : list_departments 
2025-05-06 19:35:17,013 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\roles.json 
2025-05-06 19:35:47,918 |  DEBUG | decorators | wrapper | line:8 | Entering the function : list_roles 
2025-05-06 19:35:47,920 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\roles.json 
2025-05-06 19:35:47,929 |  DEBUG | decorators | wrapper | line:11 | Exiting the function : list_roles 
2025-05-06 19:35:50,826 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:35:50,826 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:35:57,648 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:35:57,649 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:36:09,693 |  DEBUG | decorators | wrapper | line:8 | Entering the function : list_roles 
2025-05-06 19:36:09,695 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\roles.json 
2025-05-06 19:36:09,697 |  DEBUG | decorators | wrapper | line:11 | Exiting the function : list_roles 
2025-05-06 19:36:13,291 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:36:13,291 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:36:32,839 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:36:32,839 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:37:06,984 |  DEBUG | decorators | wrapper | line:8 | Entering the function : list_roles 
2025-05-06 19:37:06,985 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\roles.json 
2025-05-06 19:37:06,987 |  DEBUG | decorators | wrapper | line:11 | Exiting the function : list_roles 
2025-05-06 19:37:09,385 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:37:09,386 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:38:53,812 |  DEBUG | decorators | wrapper | line:8 | Entering the function : add_role 
2025-05-06 19:38:53,812 |  ERROR | decorators | wrapper | line:14 | An error occurred in the function : add_role : Trace 'classmethod' object is not callable 
2025-05-06 19:40:38,187 |  INFO | helpers | load_from_json | line:46 | Loaded data from JSON File : D:\Gen_AI_Train\services\..\json\departments.json 
2025-05-06 19:40:38,188 |  INFO | helpers | save_to_json | line:30 | saved data to the file: {file} 
2025-05-06 19:40:41,675 |  DEBUG | decorators | wrapper | line:8 | Entering the function : list_departments 
