[2025-07-04 17:59:57,937] INFO] Starting fetch for query: 'bitcoin']
[2025-07-04 17:59:59,193] INFO] Fetching page 1 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&pageSize=10&page=1&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d]
[2025-07-04 17:59:59,194] INFO] Page 1: Retrieved 10 articles.]
[2025-07-04 17:59:59,594] INFO] Fetching page 2 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&pageSize=10&page=2&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d]
[2025-07-04 17:59:59,595] INFO] Page 2: Retrieved 10 articles.]
[2025-07-04 17:59:59,596] INFO] Total fetched: 20]
[2025-07-04 17:59:59,636] INFO] Processing article 1/20: A False Start on the Road to an All-American Bitcoin]
[2025-07-04 17:59:59,636] INFO] Downloading image for article 8977dc12-04c8-461f-a1f0-e3d38cc49d63]
[2025-07-04 17:59:59,861] INFO] Saved article 8977dc12-04c8-461f-a1f0-e3d38cc49d63 to article_store\queue\8977dc12-04c8-461f-a1f0-e3d38cc49d63\8977dc12-04c8-461f-a1f0-e3d38cc49d63.json]
[2025-07-04 17:59:59,862] INFO] Processing article 2/20: A Viral Question Is Puzzling Bitcoin Fans: Why Isn’t the Price Rising?]
[2025-07-04 17:59:59,862] INFO] Downloading image for article 52560bf9-7cca-41fe-be5e-24ca54709436]
[2025-07-04 18:00:00,059] INFO] Saved article 52560bf9-7cca-41fe-be5e-24ca54709436 to article_store\queue\52560bf9-7cca-41fe-be5e-24ca54709436\52560bf9-7cca-41fe-be5e-24ca54709436.json]
[2025-07-04 18:00:00,060] INFO] Processing article 3/20: Bitcoin Who? Wall Street Has a New Crypto Obsession]
[2025-07-04 18:00:00,061] INFO] Downloading image for article c636dd18-e560-4a9d-a8dc-55e05a1b5d5b]
[2025-07-04 18:00:00,285] INFO] Saved article c636dd18-e560-4a9d-a8dc-55e05a1b5d5b to article_store\queue\c636dd18-e560-4a9d-a8dc-55e05a1b5d5b\c636dd18-e560-4a9d-a8dc-55e05a1b5d5b.json]
[2025-07-04 18:00:00,286] INFO] Processing article 4/20: Crypto Bros Are Winning Big in Trump’s America]
[2025-07-04 18:00:00,287] INFO] Downloading image for article 74173732-73b0-497b-bc6c-931a8c802c19]
[2025-07-04 18:00:00,462] INFO] Saved article 74173732-73b0-497b-bc6c-931a8c802c19 to article_store\queue\74173732-73b0-497b-bc6c-931a8c802c19\74173732-73b0-497b-bc6c-931a8c802c19.json]
[2025-07-04 18:00:00,463] INFO] Processing article 5/20: Your Bitcoin Might Soon Get You a Mortgage—No, Really]
[2025-07-04 18:00:00,463] INFO] Downloading image for article edf0fc42-e43b-413c-9cce-300c731ac8ad]
[2025-07-04 18:00:00,631] INFO] Saved article edf0fc42-e43b-413c-9cce-300c731ac8ad to article_store\queue\edf0fc42-e43b-413c-9cce-300c731ac8ad\edf0fc42-e43b-413c-9cce-300c731ac8ad.json]
[2025-07-04 18:00:00,632] INFO] Processing article 6/20: Family of Bitcoin Influencers Hide Their Crypto Codes on Four Continents to Deter Kidnappers]
[2025-07-04 18:00:00,633] INFO] Downloading image for article 22ce9e8c-d33f-460c-a8c0-00199d41e7ca]
[2025-07-04 18:00:00,895] INFO] Saved article 22ce9e8c-d33f-460c-a8c0-00199d41e7ca to article_store\queue\22ce9e8c-d33f-460c-a8c0-00199d41e7ca\22ce9e8c-d33f-460c-a8c0-00199d41e7ca.json]
[2025-07-04 18:00:00,896] INFO] Processing article 7/20: Trump Claims He Built Crypto—Just as His Family Cashes In]
[2025-07-04 18:00:00,896] INFO] Downloading image for article 0523e5ed-ac8c-4c04-9eab-aec81060c21b]
[2025-07-04 18:00:01,082] INFO] Saved article 0523e5ed-ac8c-4c04-9eab-aec81060c21b to article_store\queue\0523e5ed-ac8c-4c04-9eab-aec81060c21b\0523e5ed-ac8c-4c04-9eab-aec81060c21b.json]
[2025-07-04 18:00:01,083] INFO] Processing article 8/20: Google’s carbon emissions just went up again]
[2025-07-04 18:00:01,083] INFO] Downloading image for article b635f981-b087-405d-9057-e71d7dbf4c3c]
[2025-07-04 18:00:01,359] INFO] Saved article b635f981-b087-405d-9057-e71d7dbf4c3c to article_store\queue\b635f981-b087-405d-9057-e71d7dbf4c3c\b635f981-b087-405d-9057-e71d7dbf4c3c.json]
[2025-07-04 18:00:01,361] INFO] Processing article 9/20: Bitcoin's Record-Long Summer Lull: How Should You Trade It?]
[2025-07-04 18:00:01,362] INFO] Downloading image for article 4329156a-5302-4293-bcc1-ffda7fa24d6a]
[2025-07-04 18:00:01,675] INFO] Saved article 4329156a-5302-4293-bcc1-ffda7fa24d6a to article_store\queue\4329156a-5302-4293-bcc1-ffda7fa24d6a\4329156a-5302-4293-bcc1-ffda7fa24d6a.json]
[2025-07-04 18:00:01,677] INFO] Processing article 10/20: Today's Corporate Bitcoin Holders Could be Tomorrow's Forced Sellers: StanChart]
[2025-07-04 18:00:01,678] INFO] Downloading image for article 690b3389-678f-4a9e-9fc4-65f47f1885c6]
[2025-07-04 18:00:01,744] INFO] Saved article 690b3389-678f-4a9e-9fc4-65f47f1885c6 to article_store\queue\690b3389-678f-4a9e-9fc4-65f47f1885c6\690b3389-678f-4a9e-9fc4-65f47f1885c6.json]
[2025-07-04 18:00:01,744] INFO] Processing article 11/20: Crypto: What's the next milestone for bitcoin and stablecoins?]
[2025-07-04 18:00:01,744] INFO] Downloading image for article bcded74f-7ec3-4566-bec5-0ed6c10ad468]
[2025-07-04 18:00:01,750] INFO] Saved article bcded74f-7ec3-4566-bec5-0ed6c10ad468 to article_store\queue\bcded74f-7ec3-4566-bec5-0ed6c10ad468\bcded74f-7ec3-4566-bec5-0ed6c10ad468.json]
[2025-07-04 18:00:01,750] INFO] Processing article 12/20: BITCOIN SEASON 2: Bitcoin Has Stockholm Syndrome]
[2025-07-04 18:00:01,750] INFO] Downloading image for article 5dd76764-b347-4042-a19d-a5db75081914]
[2025-07-04 18:00:01,755] INFO] Saved article 5dd76764-b347-4042-a19d-a5db75081914 to article_store\queue\5dd76764-b347-4042-a19d-a5db75081914\5dd76764-b347-4042-a19d-a5db75081914.json]
[2025-07-04 18:00:01,755] INFO] Processing article 13/20: Höhenflug des Bitcoin: Die Alternativen profitieren diesmal nicht]
[2025-07-04 18:00:01,755] INFO] Downloading image for article 6c907020-6ea7-4049-8b18-ccf070f6bf91]
[2025-07-04 18:00:03,232] INFO] Saved article 6c907020-6ea7-4049-8b18-ccf070f6bf91 to article_store\queue\6c907020-6ea7-4049-8b18-ccf070f6bf91\6c907020-6ea7-4049-8b18-ccf070f6bf91.json]
[2025-07-04 18:00:03,234] INFO] Processing article 14/20: The $50 Billion Company That Does Almost Nothing]
[2025-07-04 18:00:03,235] INFO] Downloading image for article 694eb4c4-6eb6-4df2-8dc7-87636e7260a6]
[2025-07-04 18:00:03,488] INFO] Saved article 694eb4c4-6eb6-4df2-8dc7-87636e7260a6 to article_store\queue\694eb4c4-6eb6-4df2-8dc7-87636e7260a6\694eb4c4-6eb6-4df2-8dc7-87636e7260a6.json]
[2025-07-04 18:00:03,489] INFO] Processing article 15/20: Bitcoin on the Brink: Institutional Firepower and IPO Frenzy Fuel Crypto's Next Big Move]
[2025-07-04 18:00:03,490] INFO] Downloading image for article d16daf5d-5cff-43a0-99b8-a24ce6ec787f]
[2025-07-04 18:00:03,499] INFO] Saved article d16daf5d-5cff-43a0-99b8-a24ce6ec787f to article_store\queue\d16daf5d-5cff-43a0-99b8-a24ce6ec787f\d16daf5d-5cff-43a0-99b8-a24ce6ec787f.json]
[2025-07-04 18:00:03,500] INFO] Processing article 16/20: Will Buy As Much Bitcoin As We Can: Twenty One CEO]
[2025-07-04 18:00:03,500] INFO] Downloading image for article 2e4799b5-af37-4b87-9b5e-b3fd4ecfe803]
[2025-07-04 18:00:03,507] INFO] Saved article 2e4799b5-af37-4b87-9b5e-b3fd4ecfe803 to article_store\queue\2e4799b5-af37-4b87-9b5e-b3fd4ecfe803\2e4799b5-af37-4b87-9b5e-b3fd4ecfe803.json]
[2025-07-04 18:00:03,507] INFO] Processing article 17/20: This Billionaire Turned a Software Firm Into a $42 Billion Bitcoin Whale]
[2025-07-04 18:00:03,507] INFO] Downloading image for article b4c15c0a-388b-4475-9e93-d67f04422337]
[2025-07-04 18:00:03,692] INFO] Saved article b4c15c0a-388b-4475-9e93-d67f04422337 to article_store\queue\b4c15c0a-388b-4475-9e93-d67f04422337\b4c15c0a-388b-4475-9e93-d67f04422337.json]
[2025-07-04 18:00:03,694] INFO] Processing article 18/20: Bitcoin presume de descentralización. Pero un tercio ya está en manos de grandes actores centralizados]
[2025-07-04 18:00:03,695] INFO] Downloading image for article 3fff6689-e5f5-4c62-ba29-ae3a53af094f]
[2025-07-04 18:00:03,999] INFO] Saved article 3fff6689-e5f5-4c62-ba29-ae3a53af094f to article_store\queue\3fff6689-e5f5-4c62-ba29-ae3a53af094f\3fff6689-e5f5-4c62-ba29-ae3a53af094f.json]
[2025-07-04 18:00:04,001] INFO] Processing article 19/20: Growing Use of Bitcoin Treasuries]
[2025-07-04 18:00:04,002] INFO] Downloading image for article 30417718-4d7d-45c6-ac0a-d570c16190ab]
[2025-07-04 18:00:04,200] INFO] Saved article 30417718-4d7d-45c6-ac0a-d570c16190ab to article_store\queue\30417718-4d7d-45c6-ac0a-d570c16190ab\30417718-4d7d-45c6-ac0a-d570c16190ab.json]
[2025-07-04 18:00:04,201] INFO] Processing article 20/20: Sparkasse bietet Kunden Handel mit Kryptowährungen an]
[2025-07-04 18:00:04,202] INFO] Downloading image for article b0731b4c-ec0e-4198-8520-c27675a9e6ce]
[2025-07-04 18:00:05,381] INFO] Saved article b0731b4c-ec0e-4198-8520-c27675a9e6ce to article_store\queue\b0731b4c-ec0e-4198-8520-c27675a9e6ce\b0731b4c-ec0e-4198-8520-c27675a9e6ce.json]
[2025-07-04 18:03:09,323] INFO] Completed: 0523e5ed-ac8c-4c04-9eab-aec81060c21b]
[2025-07-04 18:03:25,006] INFO] Completed: 22ce9e8c-d33f-460c-a8c0-00199d41e7ca]
[2025-07-04 18:03:25,020] ERROR] Failed to process article 2e4799b5-af37-4b87-9b5e-b3fd4ecfe803: 'NoneType' object has no attribute 'strip']
[2025-07-04 18:03:41,891] INFO] Completed: 30417718-4d7d-45c6-ac0a-d570c16190ab]
[2025-07-04 18:04:02,266] INFO] Completed: 3fff6689-e5f5-4c62-ba29-ae3a53af094f]
[2025-07-04 18:04:22,781] INFO] Completed: 4329156a-5302-4293-bcc1-ffda7fa24d6a]
[2025-07-04 18:04:41,583] INFO] Completed: 52560bf9-7cca-41fe-be5e-24ca54709436]
[2025-07-04 18:04:41,603] ERROR] Failed to process article 5dd76764-b347-4042-a19d-a5db75081914: 'NoneType' object has no attribute 'strip']
[2025-07-04 18:04:41,613] ERROR] Failed to process article 690b3389-678f-4a9e-9fc4-65f47f1885c6: 'NoneType' object has no attribute 'strip']
[2025-07-04 18:04:56,630] INFO] Completed: 694eb4c4-6eb6-4df2-8dc7-87636e7260a6]
[2025-07-04 18:05:21,763] INFO] Completed: 6c907020-6ea7-4049-8b18-ccf070f6bf91]
[2025-07-04 18:05:37,269] INFO] Completed: 74173732-73b0-497b-bc6c-931a8c802c19]
[2025-07-04 18:05:57,742] INFO] Completed: 8977dc12-04c8-461f-a1f0-e3d38cc49d63]
